drum type,drum identifier
cymbal,KSHMR_Crash_17_Long.wav
cymbal,KSHMR Rides 02.wav
cymbal,KSHMR Crash 05.wav
cymbal,KSHMR_Crash_20_Drum_Machine.wav
cymbal,KSHMR_Crash_15.wav
cymbal,KSHMR_Crash_03.wav
cymbal,KSHMR Crash 09.wav
cymbal,KSHMR_Crash_10.wav
cymbal,KSHMR_Ride_04.wav
cymbal,KSHMR Ride 02.wav
cymbal,KSHMR Rides 03.wav
cymbal,KSHMR_Ride_08.wav
cymbal,KSHMR_Ride_17.wav
cymbal,KSHMR_Crash_13.wav
cymbal,KSHMR_Ride_20_Tonal_C.wav
cymbal,KSHMR Crash 07.wav
cymbal,KSHMR_Crash_08.wav
cymbal,KSHMR_Crash_FX_03_Tape_Stop.wav
cymbal,KSHMR Crash 06.wav
cymbal,KSHMR_Crash_06.wav
cymbal,KSHMR Crash 04.wav
cymbal,KSHMR_Crash_FX_02_Tape_Stop.wav
cymbal,KSHMR_Crash_02.wav
cymbal,KSHMR Crash 11.wav
cymbal,KSHMR Ride 06.wav
cymbal,KSHMR_Crash_16.wav
cymbal,KSHMR_Ride_01.wav
cymbal,KSHMR_Crash_07.wav
cymbal,KSHMR Crash 10.wav
cymbal,KSHMR_Ride_09.wav
cymbal,KSHMR Crash 14.wav
cymbal,KSHMR_Ride_06.wav
cymbal,KSHMR Crash 15 - Long and Verby.wav
cymbal,KSHMR Crash 12.wav
cymbal,KSHMR Ride 03.wav
cymbal,KSHMR_Crash_09.wav
cymbal,KSHMR Crash 01.wav
cymbal,KSHMR_Ride_15.wav
cymbal,KSHMR Crash 08.wav
cymbal,KSHMR_Crash_05.wav
cymbal,KSHMR_Ride_11.wav
cymbal,KSHMR_Crash_19_Drum_Machine.wav
cymbal,KSHMR_Ride_07.wav
cymbal,KSHMR_Ride_19_Quicky.wav
cymbal,KSHMR_Crash_14.wav
cymbal,KSHMR Rides 04.wav
cymbal,KSHMR Crash 03.wav
cymbal,KSHMR_Ride_12.wav
cymbal,KSHMR Rides 05.wav
cymbal,KSHMR Ride 07.wav
cymbal,KSHMR_Ride_14.wav
cymbal,KSHMR_Crash_11.wav
cymbal,KSHMR_Ride_05.wav
cymbal,KSHMR Crash 13.wav
cymbal,KSHMR Ride 05.wav
cymbal,KSHMR_Crash_12.wav
cymbal,KSHMR_Ride_18_Drum_Machine.wav
cymbal,KSHMR_Crash_18_Drum_Machine.wav
cymbal,KSHMR Ride 01.wav
cymbal,KSHMR_Ride_13.wav
cymbal,KSHMR_Ride_03.wav
cymbal,KSHMR_Ride_16.wav
cymbal,KSHMR_Ride_02.wav
cymbal,KSHMR_Crash_01.wav
cymbal,KSHMR Crash 02.wav
